🕘️更新时间,#genre#
2025-02-14 18:36:12,http://111.29.9.33:6610/000000001000/1000000001000021973/index.m3u8?channel-id=bestzb&Contentid=1000000001000021973&livemode=1&stbId=3

📺央视频道,#genre#
CCTV-1,http://111.29.9.33:6610/000000001000/1000000001000021973/index.m3u8?channel-id=bestzb&Contentid=1000000001000021973&livemode=1&stbId=3
CCTV-1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV-1,http://111.160.27.70:35793/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8
CCTV-2,http://111.29.9.33:6610/000000001000/1000000001000012442/index.m3u8?channel-id=bestzb&Contentid=1000000001000012442&livemode=1&stbId=3
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV-2,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://218.58.136.82:352/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8
CCTV-3,http://111.29.9.33:6610/000000001000/1000000001000011218/index.m3u8?channel-id=bestzb&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV-3,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV-3,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://58.17.48.228:808/hls/3/index.m3u8
CCTV-3,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8
CCTV-4,http://111.29.9.33:6610/000000001000/1000000002000031664/index.m3u8?channel-id=bestzb&Contentid=1000000002000031664&livemode=1&stbId=3
CCTV-4,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV-4,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://218.58.136.82:352/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8
CCTV-5,http://111.29.9.33:6610/000000001000/1000000001000004794/index.m3u8?channel-id=bestzb&Contentid=1000000001000004794&livemode=1&stbId=3
CCTV-5,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-5,http://111.160.27.70:35793/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://58.17.48.228:808/hls/5/index.m3u8
CCTV-5+,http://111.29.9.33:6610/000000001000/1000000001000020505/index.m3u8?channel-id=bestzb&Contentid=1000000001000020505&livemode=1&stbId=3
CCTV-5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://218.58.136.82:352/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://110.53.52.63:8888/newlive/live/hls/7/live.m3u8
CCTV-5+,http://3501776.xyz:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6,http://111.29.9.33:6610/000000001000/1000000001000016466/index.m3u8?channel-id=bestzb&Contentid=1000000001000016466&livemode=1&stbId=3
CCTV-6,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://58.17.48.228:808/hls/6/index.m3u8
CCTV-6,http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8
CCTV-6,http://219.135.180.210:18888/hls/6/index.m3u8
